,Site,Diversity,Observed,Estimator,s.e.,LCL,UCL,Class
1,MmAdV,Species richness,5,5,0.573,5,6.759,DNA
2,MmBoV,Species richness,2,2,0.484,2,3.62,DNA
3,MmCoV,Species richness,2,2.998,2.037,2.081,14.301,RNA
4,MmPicorna,Species richness,5,5,0.491,5,6.313,RNA
5,MmPosaV,Species richness,4,4,0.04,4,4.08,RNA
6,MmAaV,Species richness,11,11.499,1.029,11.04,17.229,DNA
7,MmHV,Species richness,2,2,0.018,2,2.036,DNA
8,MmPyV,Species richness,2,2,0.223,2,2.502,DNA
9,MmRbV,Species richness,2,2.998,2.037,2.081,14.301,RNA
10,MmAstV,Species richness,22,50.064,20.856,29.65,124.943,RNA
11,MmPbV,Species richness,120,200.823,30.457,159.57,285.085,RNA
12,MmRota,Species richness,3,3.998,2.117,3.077,15.898,RNA